SRR number	Sample type
SRR15677217	lake sediment
SRR15677218	lake sediment
SRR15677219	lake sediment
SRR15677220	lake sediment
SRR15677221	lake sediment
SRR15677222	lake sediment
SRR15677223	lake sediment
SRR15677224	lake sediment
SRR15677225	lake sediment
SRR15677226	lake sediment
SRR15677227	lake sediment
SRR15677228	lake sediment
SRR15677229	lake sediment
SRR15677230	lake sediment
SRR15677231	lake sediment
SRR15677232	lake sediment
SRR15677233	lake sediment
SRR15677234	lake sediment
SRR15677235	lake sediment
SRR15677236	lake sediment
SRR15677237	lake sediment
SRR15677238	lake sediment
SRR15677239	lake sediment
SRR15677240	lake sediment
SRR15677241	lake sediment
SRR14921307	lake sediment
SRR14921308	lake sediment
SRR14887730	lake sediment
SRR14887731	lake sediment
SRR14887732	lake sediment
SRR14887733	lake sediment
SRR14887734	lake sediment
SRR14887735	lake sediment
SRR14887736	lake sediment
SRR14887737	lake sediment
SRR14887738	lake sediment
SRR14887739	lake sediment
SRR14699977	lake sediment
SRR14699978	lake sediment
SRR14699980	lake sediment
SRR14699981	lake sediment
SRR14699982	lake sediment
SRR14699983	lake sediment
SRR14459454	lake sediment
SRR14459455	lake sediment
SRR14459456	lake sediment
SRR14459457	lake sediment
SRR14459458	lake sediment
SRR14459459	lake sediment
SRR14459460	lake sediment
SRR14459461	lake sediment
SRR13959606	lake sediment
SRR13759108	lake sediment
SRR13759109	lake sediment
SRR13759110	lake sediment
SRR13759111	lake sediment
SRR13759112	lake sediment
SRR13759113	lake sediment
SRR13759114	lake sediment
SRR13759115	lake sediment
SRR13674313	lake sediment
SRR13674314	lake sediment
SRR13674315	lake sediment
ERR3890090	lake sediment
ERR3890091	lake sediment
ERR3890092	lake sediment
ERR3890093	lake sediment
ERR3890094	lake sediment
ERR3890095	lake sediment
ERR3890096	lake sediment
ERR3890097	lake sediment
ERR3890098	lake sediment
ERR3890099	lake sediment
ERR3890100	lake sediment
ERR3890101	lake sediment
ERR3890102	lake sediment
ERR3890103	lake sediment
ERR3890104	lake sediment
ERR3890105	lake sediment
ERR3890106	lake sediment
ERR3890107	lake sediment
ERR3890108	lake sediment
ERR3890109	lake sediment
ERR3890110	lake sediment
SRR12685285	lake sediment
SRR12685286	lake sediment
SRR12685287	lake sediment
SRR12685288	lake sediment
SRR12685289	lake sediment
SRR12685290	lake sediment
SRR12685291	lake sediment
SRR12685292	lake sediment
SRR12685293	lake sediment
SRR12685294	lake sediment
SRR12685295	lake sediment
SRR12685296	lake sediment
SRR12685297	lake sediment
SRR12685298	lake sediment
SRR12685299	lake sediment
SRR12685300	lake sediment
SRR12685301	lake sediment
SRR12685302	lake sediment
SRR12685303	lake sediment
SRR12685304	lake sediment
SRR12685305	lake sediment
SRR12685306	lake sediment
SRR12685307	lake sediment
SRR12685308	lake sediment
SRR12685309	lake sediment
SRR12685310	lake sediment
SRR12685311	lake sediment
SRR12685312	lake sediment
SRR12685313	lake sediment
SRR12685314	lake sediment
SRR12685315	lake sediment
SRR12685316	lake sediment
SRR12685317	lake sediment
SRR12685318	lake sediment
SRR12685319	lake sediment
SRR12685320	lake sediment
SRR12667571	lake sediment
SRR12667570	lake sediment
SRR12667569	lake sediment
SRR12667427	lake sediment
SRR12667319	lake sediment
SRR12667318	lake sediment
SRR12667203	lake sediment
SRR12667202	lake sediment
SRR12667201	lake sediment
SRR12667042	lake sediment
SRR12667023	lake sediment
SRR12601633	lake sediment
SRR12601634	lake sediment
SRR12601635	lake sediment
SRR12594517	lake sediment
SRR12594518	lake sediment
ERR4195022	lake sediment
ERR4194904	lake sediment
ERR4194902	lake sediment
ERR4193361	lake sediment
ERR4193250	lake sediment
ERR4193251	lake sediment
ERR4193252	lake sediment
ERR4193253	lake sediment
ERR4193254	lake sediment
SRR11935581	lake sediment
SRR11849544	lake sediment
SRR11849443	lake sediment
SRR11849440	lake sediment
SRR11849220	lake sediment
SRR11849211	lake sediment
SRR11848694	lake sediment
SRR11848695	lake sediment
SRR11848696	lake sediment
